Date,Average Close,Unemployment Rate,Federal Funds Rate,Housing Starts,Personal Savings Rate,Average Hourly Earnings,Money Supply M1,Long-Term Interest Rates,Average Weekly Hours,Personal Consumption Expenditures,Personal Income
2012-01,1300.578015,8.3,0.08,723,7.4,19.59,2201.8,599.9,41.8,10896.8,13631.6
2012-02,1352.4875,8.2,0.14,753,7.9,19.68,2237.3,608.1,41.7,11018.5,13868.1
2012-03,1389.240001,8.2,0.16,740,7,19.74,2315,581,41.7,11016.8,13752.9
2012-04,1386.428986,7.8,0.16,915,7.8,19.79,2420.1,634.6,41.5,11137.4,14049.2
2012-05,1341.272716,8,0.14,888,4.9,19.94,2476.7,613.7,41.6,11252.4,13880.4
2012-06,1323.484294,7.6,0.15,835,5.1,20.04,2504.9,578.8,41.8,11281.1,13974.9
2012-07,1359.776199,7.3,0.09,880,5.2,20.14,2542.3,486.4,41.7,11372.6,14072
2012-08,1403.448258,7.2,0.09,925,4.7,20.25,2631.2,489.7,41.9,11498,14152.3
2012-09,1443.419472,6.6,0.07,888,5.2,20.39,2714.1,446.5,41.6,11578.8,14369.2
2012-10,1437.816662,6.2,0.09,1043,5.4,20.51,2774.2,485,41.9,11762.3,14624.5
2012-11,1394.512387,6.2,0.09,1085,5.5,20.61,2837.3,482.2,42,11904.4,14821.1
2012-12,1422.285492,5.7,0.09,1074,5.4,20.7,2880.4,442.4,42.1,12064.7,15022.7
2013-01,1480.39524,5.7,0.11,1085,6.3,20.8,2952.9,442.5,42,12066.7,15230.8
2013-02,1512.311581,5.4,0.12,1190,5.9,20.92,2999.1,440.6,41.8,12209.1,15373.5
2013-03,1550.828986,5.2,0.13,1146,5.6,21.03,3034.4,426,41.8,12364.9,15518.6
2013-04,1570.702265,5,0.12,1058,5.8,21.19,3026.1,417.8,41.8,12394.9,15608
2013-05,1639.842723,4.8,0.34,1092,6.1,21.31,3103.4,397.5,41.9,12478,15695.5
2013-06,1618.772516,5.1,0.37,1163,5.5,21.46,3197.7,449.5,41.8,12611.5,15758.9
2013-07,1668.675443,4.8,0.39,1239,5.1,21.58,3241.7,494.9,42,12756.7,15891.5
